Id,First Name,Last Name,Sex,Weight,Height,Date of Birth
1811, nxYkiDkFeLOolEgHhiQb, ZhLFUunbvmcqyqii, v, 18, 262, 13/11/2021
1812, fbxyYSZjoHGkpnmzQUOvwjGoSFiAQoBdQkJlxeoxBKbVUe, fdfVjJgamZNpSDEcwoieEpkcfUerURJZt, G, 192, 284, 25/11/1990
1813, KJvVXARdnQccdWOeDQgWpe, ybLyIDcX, E, 247, 193, 10/09/1989
1814, kKRvpXcRsaeRrBCDNfWZQEBuPJKzgT, vZdeEEBBnEgbQTtWGVKCmmRoRVHkpwOZSQhlcbezLSEhcBrerRWHAcD, s, 195, 99, 10/02/2006
1815, SnJqDGkCYCOZfAVdMEygKREMCaACP, uWMjfVOAYafYOWWSDqWsoijwQAvGdYVtLPQzWxaClXfAFLdajfoaXqciAPF, E, 266, 203, 12/07/1978
1816, FIJKyhNCqVwgOXCLepDvTsTUQeSXlwKzYwwOPkhcDKROso, tSRBctfjWlbogHYdjV, k, 71, 108, 03/07/2012
1817, PpiwCqp, IncKyxFoXoLeEWjDPqeFJBGLqDozxZdSTrwRGoLoIowArkYCHgHeJtJaJN, C, 116, 12, 15/11/2008
1818, qSJVmGtzYYwwTNbXYxdUspapAcgSIrGUOxfzcvcaejHLcqGSQkLfD, MYdJsvbiSeWhHcwunNUnDzvQqlWINXmXpKJrYhDUsUFQLlMjtzLdV, K, 158, 250, 06/02/1983
1819, lYporklpKvDDBikTPfnBmRkEwQPGkHWjbcLKnS, YySImzWrWChMSMsPBaaINdeXPITpezlfPJjYVeRetuvxSShSSJDPkU, h, 244, 236, 27/04/1953
1820, wIqWjInMJkCyRyGtCnvCEICsIsZYQjTdQQisYXZbZqzSifVXseYECF, AGxyOlURvZWYjUFfBid, e, 80, 178, 05/02/1968
1821, uPvZGZKekzBDWJkHvXeBvWiMPDjrozMczC, wkVUsGjBqWrr, a, 57, 109, 06/07/1950
1822, REQUagqmLoUrfELodZPEzLdPmuWbpIITChYxgTCmElLwZCxbPyWIPK, qkXpbjKdQBfUCupXcUYRaxkUELROjWaZv, E, 163, 246, 24/03/1974
1823, ZiqcUMWN, tuvSMymvJxEXGbqjBvgtEqPwayEvR, W, 286, 73, 13/01/1988
1824, mwCsjbsnlHGKtjZniZ, rHDgrKAQvaJVnBHUXFsEcPROQYBOMfBHS, z, 237, 263, 29/03/1991
1825, gImeOzGOMsMOSSNvyxGKknmkyelzyuDNvwXziIZauwCsCSSqdJYYl, RkMmWSapbrxdGDrTkGHpSucU, e, 269, 38, 16/10/1986
1826, moXsMeQvTUeUYrTWtdEpsQMNFPPXJsxM, HlsSgSVRoxVgbIadMVwClMXMebvQcqqtCMgj, h, 120, 246, 22/07/1976
1827, fmDirTKfVjHtnpirlLQxeDskcuaywJXZDaKoQcdTXQglPlwgiUYCC, KUZqXamVxUMxQynKVWqzBEKxhQhjnmtacHBrBjW, x, 220, 98, 11/12/1954
1828, IXEKYNvttoPcfBHDyAxQpzzwScHncPfpfVjorBLaRmmgvvJOlmNY, mJiaMRLdpkvMxpnNcsLpuFUInFusnwsVQMOhpX, c, 14, 174, 30/01/1978
1829, WqMFsTril, Rtqan, Z, 176, 60, 08/06/1964
1830, SHkdrjbHkzARytgMOyeku, gNfYQEPXVxIiwUNiUJhjlVpuJEuHEApwjqJvDzuRdcXABlaDAoiFpDYoogN, v, 193, 46, 12/10/1994
1831, ychMfhpNyQNGlnkpzsXkCNhjrxC, LjhjHShVTcthjrIdaYAKdbSiPsbsee, D, 67, 131, 03/11/1967
1832, iYMAObyJfrmZKCQlvpAxuQQiIhvsaPMwWc, TtuavCYsrkfHKcbqrDDlMLanKpELDaqxb, F, 299, 255, 23/04/1993
1833, VADhckqRPePlHDZHBdeXVeGwOKmXfvrub, jYaaBpjKkmGPvsXhGUEJmiqo, C, 155, 222, 10/11/2003
1834, MmmfVgADlLjysWuatQpSgSY, qphdNc, a, 96, 270, 29/08/2003
1835, xliVQU, ipIsBKULtsaXVBqG, K, 228, 289, 30/11/1995
1836, owpDjcJqVnVUnaWXbsvdVbVewJaS, vlCAnsulJmOVfSNsKegbRscNYcXxrdfvMnwZIKNziMxnroqGSqHcdJwe, l, 13, 275, 21/01/1963
1837, srGwaIptdtlyPjRSqilKeDnWUxIjqhHjmwsfEejOMboFHeF, quPjaXJMFJdFSyfyQKY, k, 174, 22, 06/11/2018
1838, cwhvJhJYRJPfapgjNUUIrLVEqcka, PrrOodYkenQDp, n, 245, 207, 09/08/2015
1839, XjHhSwZWYssFCDhKBbJwWTgWDzkfSNZHVyVVgasfig, ycAUxultsXbHNgFyJbHbFTjoRSUNwLGuiUXhBLZtyLvpNM, k, 224, 26, 16/06/1975
1840, ruzUvYuUtSywHmqOOYHAtxjPiTvYPCF, ukP, B, 91, 182, 28/07/1983
1841, kOzxe, SIFxJT, e, 199, 271, 05/08/1998
1842, MmAyVSoamyjUrJvSrmmRhWHfJQuhgFJsgOtwEsFbgdAKRPvtpyUUlhy, FbVtNTwvQLVGEUaUavEWlNqxkgdYIlNeHPmPGOQMnBixryYZ, S, 94, 169, 02/04/1985
1843, EiuQLinHfVK, iLuHGUzMzgiSmKNLzDRQxIwvnG, g, 86, 146, 28/10/2006
1844, nWJlpvgIvxUSQuJAjIOnWOQt, lFxfjnaHcyWnGAFIKiMuTshW, Z, 281, 145, 20/12/1971
1845, KJEQSwWtjRSK, rwJamiMr, S, 235, 16, 01/07/1962
1846, ilmUpxVEZ, kqbKjVOk, u, 56, 200, 17/07/2017
1847, lznirFsKkNGOBmVqbP, lXEqxjsNcrxIFQzunHjftQCygZsaRLyUVIdBPvWdwWoDvOozUyrJLf, H, 209, 88, 14/11/1979
1848, wIvBwepuRNuTozNeaFZcZfjf, vVPHFi, t, 145, 192, 07/09/1990
1849, sKUXhUruphriJaKyvdMTSR, LINoFOdcVuxzQfZklmLmghBncRfidMWqGHdrthxOJVQvDUUzsutGVqaC, Z, 174, 134, 05/07/2009
1850, NRnOaMBIoLkWblNlWPfeyxegDAvTSPhEzEJSWZZcrnyJAnSghU, aPUFCaOwJBFnxJUqCWkaWKJnbkJStdApKexRCTRBg, k, 291, 139, 09/06/2005
1851, EjKiWE, XIwrMILrpIviTVtSVLNjoaMrZRyArzvxTbDZNHUSt, W, 264, 97, 29/11/1978
1852, MSVAFKKnOkZMaNxFaefBtoUUkfyTJxUjya, nQTJZCEyHJJdCbVVBXQqxguqiEVgVPKfccYbRmLCjWjWFLsnaQX, h, 204, 81, 08/02/2021
1853, sTTKOtqMjaArNoBztwLhXwozmjBwtYxCuuYOIxZtfMv, Jx, J, 105, 127, 30/07/1974
1854, ZDVScZwCvSzsQaNpIwAhUdPTgoCtAYdEaCSdfGsyJAwBgm, PEDIqfTbdeXZSCaNNzjlppsQtuqTdVahaAqZHMpufplx, Z, 105, 299, 22/12/1997
1855, TZCelwWf, jHjtRbIUzpIfjAGbwKKNSBnWQFnvJNXgGJwjMxBrbFVsKIBGqbmniSBSPE, f, 138, 54, 02/01/1989
1856, gXuAZgSQAkDajqSkjMEYnY, JIBKenHHzhDYnUBlBYtmaXlLWgYuSKvebKEdZcrdSPApG, K, 66, 0, 24/09/1953
1857, FRxcjsnoqphZHWqDUWjjWaZOFxiwQMF, BbiJoMwqpmuOok, B, 263, 161, 26/08/1987
1858, YfMdMQIOngXZLmBcpzONpltjLSRMJxCwIYPDShScQw, UUVMzmGzLRWQfSwLIkMsjjVttQKUmZcJqcFRtTpNwOmgfWnTTJQTIdINCDI, u, 251, 195, 27/08/2001
1859, skiPi, AiipaxOkgmhFaRnIPRmZvUYeSGzlOyVaAJQznure, f, 95, 153, 03/04/1996
1860, FjWidnbfomkOJijefIWXoemlikFeoIuwrJuzccDAkdXQIiYLxQKMno, hHtcSOODHgTcXvaImfhQaMeMAkGZpvesmTrknoQEXrmgMyJML, I, 266, 178, 26/03/2021
1861, pOnLlr, vmXQmsaMCvvzerAvvwOsjYVlIJWd, g, 59, 23, 04/05/2013
1862, vwRbHQlhCkwIPtQOpwyQCaEpuWAT, LLkEagnHbIxdgGsWLVUkEumQTPssGIvHILhEljl, a, 41, 80, 29/12/1952
1863, cxOfvnohGFBRnNlYjiDFxaxpzMlUlXw, QhDhIObxogEtyPkxkNULCbgQAEimGBwPllsbDCFDLpilIdHyJkdpPvYu, c, 209, 214, 26/03/2002
1864, ntPyTWFIozhPCqyRaVZlcDfFYPWoMmDdYNEmJiYcap, TaJyLcYrEeoranaLDIJrQANrYNyCiPRJxklChXvyEwMHTeRT, R, 186, 133, 02/02/1999
1865, insSKUcBuempMyAYQL, VMNWMLXCZQmJM, S, 142, 16, 19/01/1998
1866, xLEkcAIZkqfbvkSpDPPAWgqgzCblwLcQauiJnTZCQNcTbfQYBxcPDHY, pCSQfJTDloiyCzrUaKLWXbQuUFwZpFaPaQnnPvKNBmzjJCimJLCCKKkrgHl, V, 127, 5, 02/12/1951
1867, kZRRjFZKvrQSJgDBjUyjCcPgvoajNqrVDOmHWmLOabfYdfVujhHOE, UIgcs, d, 92, 174, 16/02/1988
1868, IKBcVHOEsQnBwMFVQnBgsJGj, IvDwSIcujVvlxwXAedFiijTq, X, 115, 10, 01/04/1957
1869, RzUjvpGEbBpysgpZAycTAQBWLSxyQJpVMsXDuqKlyvfBXnJpXvpnxbB, tyeEXoZBKJhUrGRgVxZiUhWTvHepCGTFmzewrw, K, 224, 236, 28/10/2018
1870, AINkHsHtKBhfDingGATntmjXCsr, eAlnopKHFGvLdGVZHvoSDTmSGTIKyAtFXhRPmfKhnLuBtZCGAGKlg, s, 285, 248, 20/08/2016
1871, styhQaJuuFVZpFQZmAwNpnqRhMoXURF, qxroMSecxIJrztTRdmAoyfJTjRMqAWBBLQBa, n, 35, 14, 15/05/2009
1872, XAMexzaVeLhAxyLwMhoPShjrdOTvNuwMCQo, PzHReqjJbbP, E, 55, 67, 19/01/1964
1873, XAfXvtBXmDSDnuHLCQLGLEmhElPp, QwflRMRyENtHVafxmAUuyXbBNwnYZGsvCfuCAcumz, l, 70, 102, 15/08/2005
1874, NjuhipQyQZsCSBhSSXDdICPeCltWyGlGayAkDuHRSPvo, FtKWxUNAKGYsFmGKChutUiSyHcrO, G, 157, 19, 21/09/1998
1875, axlUiTvUVtyfemjzhULMVWCUMuodqHDVOxiMHSdGOEyfvQaZlhoradfCWx, BLgmjiLTyZAtD, S, 48, 255, 03/10/1957
1876, UTCfwPYvFTkqtpXzTCTjVbIlYIwDKsaXFmtsDOmBmkRKQKLPP, gKYHhIQeJmcqF, s, 112, 60, 18/10/1973
1877, namlJnaDBMeDbRByDbFpvnAhJRQNajnYuxNt, ewgRkEEaNPwuaTegYlxpDlaJLTbQrVXwiFOxFRJNfGeZwcry, A, 259, 156, 01/12/1972
1878, SmrrnZXBPWSdOvYRShYVLVxXNKqTvvtalUOHLFpNkWjWmJTzjgYBOeRENP, mxMJAASWmVAOebGaEDD, R, 88, 29, 12/07/1959
1879, iUGwdfWlseu, lasmjIBLZEloiKjIiqQnjaqKXyyRByXfRovuROfQFUvocXYeGUl, G, 64, 27, 22/05/2016
1880, zTU, IqUDHNpJ, j, 94, 177, 05/09/1950
1881, ZWjHupnLBDIYaVgpHS, TqBriCfzsXsGForGOSRtgVOfeMOnRKftVFhdKNeMEiWEuPocZSQudxhJbZ, O, 142, 0, 01/05/1998
1882, wOrHLJTlmkyadmQrCOSwtOVYOnwTtUIrfXZDqLWxAwqpThhZLeCZJfwdDz, dhKghNOvLyp, q, 12, 12, 17/07/1966
1883, vQJgyVlkaMOsnHWQUuSdxjhTL, ixJQitPBJChNiHaQibUhfOMwknRTC, H, 170, 290, 01/11/1957
1884, ArLdyrUnbXuIRgqrSAcQd, UK, V, 258, 243, 14/04/1982
1885, ntaLLUdOpLkDraTCoehbBULqTnLpeYKdxaOMunaRIuTyIJggvHWTJKgWry, oOhTkdV, d, 299, 295, 06/12/2004
1886, vWxHHICHsIZlVyNqaIFhIDdeQswfiKHBuzFTOLHkwsOZ, lIAZrVJJwYeHMcMGYKPljBnUMgdnKTMiyCJJVNWIukWdwFBchgxpcgI, A, 283, 91, 13/03/1950
1887, vBOmfyXaYEWujYaJYRMDtUbIpVdIWLqpn, oSrnMqQjLXcNgCUQMSVRJy, p, 241, 237, 19/10/1989
1888, vGlciQnEbcPWWcFMLhksiDDwxBXtmfxPDAJI, uvAkcIYoyDjnYfZ, I, 96, 40, 15/02/1973
1889, mWFcMJQhSSlOBuEZXKioXXjRvRxXGcTdWFHs, EACLCZAteIBDmnLwTWBdJYoJIVNolgaAbfTGZVYWCGsGvliCzIyWA, m, 287, 5, 17/09/1970
1890, BWbAPxODLSwCLYTYozikaJZRbakrvWwkwszHGPXhAVnFBNZdODlwRSOBKiJ, wlbceQKREbnLHXqwwoZdkUCsguWT, Z, 282, 11, 20/10/1991
1891, yGxFUfBbXFUW, drcXLBgfblACDCgppTBZeRkJNk, m, 277, 55, 07/07/1989
1892, DdcXupFZkPaGnvxzhflNVQXpITmsCzoWoOIEFFOhdwqkLZGTTAUVkFSNYb, KSEsTjrKBydiMbyMbhUlLocYG, w, 203, 132, 02/03/1979
1893, aJAxQFrbTIRAULjNcNXSbsqoflNuCsGqYxqUAaANQESCgqtp, ZqEapsYdHGQkexrxHSdhpvCtKcAfwepxFsJjkqZNXCeYZDPuVTdibCzw, G, 234, 219, 30/06/1995
1894, EroDntvlAulgFMpIdPbCSxcXrNuDZaGjXsafSzn, pMyQsigkAPpBnIYgAqNskNGzpxgnsbNctGvtwuIhjXFTkRhXXcmbPCGuI, x, 251, 298, 04/02/1953
1895, FjiIkZAQORqOUdDfzJCXbYnoFWBYEbyaipupDcqquQqRjoJRG, yAvtuCjQCsznrBzaTUSWPXqXZviXfCXCxFT, x, 174, 222, 02/10/2017
1896, rfUKtKHGcBIIU, kACQbHtsLJtHEVrcXCEzBtkjG, W, 77, 20, 28/10/2020
1897, fLHUVVbcbaboOGlwWJDU, TX, u, 47, 152, 01/10/1970
1898, RqQdrtxsRWBcfQONPQlbOegyDKvzQFKuSriPSyJBUYEwuvf, QggBPHGekNBjPmNljzAC, e, 126, 252, 13/04/1958
1899, lTlabUxQwvJKbQAPOIYmtKVxlLQwVAocFZerOEbGXYYFdRsgQULL, dKrTipPDHlGRQlAYRpmZjzKxiQHEaZKB, Q, 284, 32, 23/10/2017
1900, uZMqeskMLjho, SfxLEPIQzXVVJktAsmFOnexqAwXfhWGT, l, 130, 291, 14/08/2002
1901, RUFEhmtdycdGDNnnRHaf, KtxGOBprvLBtRwHdblZSqBlkZeFVdpsXLQTACp, q, 171, 119, 17/03/1999
1902, nkKNiGFCwcKnSPiPNlyJwuJGjfFupoNPK, FY, G, 201, 119, 03/10/1991
1903, NDTBBwlVCrSiwfN, PRUqpdOOupxjuhiRZzukSdVMwZTnQHKACiSmWLsRhxar, Q, 272, 238, 19/06/1982
1904, ASeOsfGodowyJdiAJazSVsqukRVqO, dPIZnZNpfDThpSKdTWo, m, 176, 56, 30/11/2010
1905, BAhesJkWGeZKsOkUhDaNMnUgvOYeOCKhXoSBkn, LnfqicpBQdkfAz, Y, 7, 277, 20/12/1993
1906, gYgznmzMKMysruanXuSUzIjBqBQtdmeUmLJbiQnNumbEvC, tcVXUADjgwnBtbGJYYYLhUzpjJmtuLRrxhAj, N, 198, 140, 03/07/1972
1907, RPzPdhqTylsOTjvLPQpumcSCnkGDhPolhtHtfHfMejkDmqQA, TsujRUhSJmd, m, 38, 149, 10/09/1996
1908, XJzJEtwapDrLlCyWhynqYKphIoALKePgTT, ZTbsPLacSjTHJHSlVXunOfSeS, P, 266, 280, 20/12/1950
1909, vWgiQCqBJNUKlkumlEYhLifcLRytA, fBzSPfXDRUkdtKlOyKEPBJIZNXPeSqudHIj, w, 123, 150, 17/01/1991
1910, DzqvvREwrzTYyCMpOMCueTzREkInOVGts, pnhLfpwDnBIMRGOmmJLgEmx, n, 172, 220, 25/02/2000
1911, wRzTyNayYdwFcdnBTLab, oxaANqKMQcinHutwlJEEmtQwzRqBsrglfMuejVOIeyRXA, p, 44, 151, 20/05/2008
1912, UbpxFLtqXYTbyPmlqaJRBRoxPI, utwBEwDiHzRZothMHKFIacINlqWrlBNSzeIybtVdUrlZoKOaJQwwjWeGzu, D, 217, 281, 12/02/1983
1913, yApgVIX, TmO, A, 211, 269, 12/11/2014
1914, akWgTcFZdwodzbbLuHgrnQCmIyvC, OBVfOQLvCPbCWmVtEgLLOUAtGletYQmnpzwNtJqjqUQUdEscUusfliDg, Y, 159, 0, 22/05/1960
1915, ZwtvLbHiAzKKkfRCGKuDrWRTbWKAUmpqwkFdBwSYROOmVyqdIpx, AjqFgnscKuvJrepRvwhVyOuEHyDNLrufATKfAHtgdtvGfwttV, t, 146, 176, 07/05/2002
1916, DszPeyNKtGaBNuVsFjGnpfBlnVGpWRdPP, keMDWFTokleNRLWHlIeqCYvMwS, h, 212, 87, 18/06/1957
1917, PhALxhtzzoKTTMvOLSQvwHtSA, wK, s, 190, 235, 27/01/1982
1918, lmtxqiwOHBLPWSSRvfnXRpZAEczQJhoAEvltrdsvWvjA, wUDzprpAZeuwUUSlARHMqELewLijhyWQqhcWnjrSbZJwLdbQGUxn, i, 202, 136, 21/03/1981
1919, dxBnQhlRjcxRMtzZftoxlMXEyzNZLIiXAqkgeAzpOpF, JFPbIJYuBGuPtlJZ, n, 36, 253, 06/06/1992
1920, minfTR, cm, X, 247, 288, 16/02/2009
1921, FYUgurRsrXmM, XeYadgpkoNTYRqHYLSRDTlnyyykSTnujjvOlvkByqHQEXBheHIRXcBmCE, d, 257, 1, 19/03/2000
1922, KpWRipEQje, kOjVIKFKImTplkTSNhSChlkOupVOEgndKFjLTiRxMMmwelCvwRzCIdVxuMp, H, 172, 92, 29/03/1967
1923, VnvsTLImCEukcF, qAzkKkJLi, s, 239, 282, 19/11/1985
1924, SRPmSOCUkdsgRgRTEVIQCJoKYqn, DDdXostBaPXufUXnoKlHaysUKUPnbOOfRTPXbirobODpFhgcbPsxZOzBQCG, S, 88, 106, 09/07/1960
1925, XHxuiXCJbHkAFRDQ, TvlOUeimYCjlvzFTcTPEGbMZsrlLShjOlGU, Y, 238, 271, 19/12/1979
1926, iknQULutoGXNqFzBANIdDajdh, TtHJghiyMxiQTfBWBAyYFgZFTOWrISGyUi, O, 199, 63, 12/02/2010
1927, yRvmfmKughJIoQyMoPiWzDxyIHFeQXLxhJISiJsaAiRPDwwHm, gyqkp, t, 270, 213, 20/06/2013
1928, lznZHtIAQCqaVzAawTbQVsbBHyUrZEXrIcQPrphXFFP, TiyrEcAxQSoffZzUBXkSiaKaSgHoYimCjLUJsTQGbszThdcogSpUgHXA, B, 174, 35, 12/09/1961
1929, mkEmziz, ncKCjHtwogbvyYKYFjg, S, 236, 3, 03/01/2007
1930, jFgbFQaqotyDBudqF, SSvTyuVMMpnVfjqP, v, 210, 30, 22/12/2013
1931, OPiuUOmhAWDNAYWgUEivvlyZdBZWKslJc, bjRmpKyV, w, 11, 281, 20/01/1977
1932, qUBJJtSWpGKkpEgLxEwstZfnrUPE, qhXMcIVOunmnDAdGClwmOknkRpMFIUnEtrktqIOGrNfjUqkFDD, r, 295, 226, 24/02/1982
1933, pPEZHrWAVVdPvHxPCmfyPGJqohLXriUQJ, RBdBsXKOTtitzQQhyBCiohQmnsmfGplyoJFMioocDBSmmvGdBhLWsJPRp, y, 289, 135, 04/08/2015
1934, ONSKhZIABDNhIdElvSuumnUtNNWFhLWkiNq, UdrBkvcveNLfPHCEEVrnlEkhlYYDrxrRLFtwzqXOgkMqvj, k, 104, 170, 23/03/1970
1935, HhNqWgERfxwSimynCeuLtgAqUJEa, rchTaqbwCtbezJIWXoKtTsCbPamXAZmDxAUDPnvShw, r, 271, 217, 27/02/1978
1936, tkiRRYzxCFTlxsysJ, qEMwinctWLHOQNphefRWTvmggwgeuzTwHvXKc, y, 199, 33, 30/01/1983
1937, XGaXuoNyNShCHAIJuslYdphvZbeurUjqSRhEYVrdJGdbMHMHwwt, rrpMBllESkotpKi, U, 101, 99, 23/03/1954
1938, hSCgFAxFKfvmQOwNkPDFpLZPzlKsz, oFeIU, n, 175, 65, 24/10/1998
1939, GhMlxObpsxHEZDhfKfOzRNIuQtaojwTlNTCBnCbUmEeKtHdHJYXep, FYWfHULudbeVOJigPGjFWbvPNRlHtEXkIIetXBWUROrMEIRjXwWtL, o, 44, 298, 19/01/1975
1940, zKSmTEhVagdAKoZCMcPACmHmEWhgEXXhiixXzfDgqDfmyDy, OEfTUfiIMkEbxvpjGTMebaZORSHRxzbfhBHThWawHzyy, s, 5, 212, 17/05/1994
1941, ktYjDMhfqZHkfcXtPejFGHurbwrCYbJqkzzLVJCnbFuenNPXKz, xAPZFcoNGgdbiQxzwnoxQeTL, b, 33, 49, 14/12/1979
1942, HXvtHKVQDIJH, TBxlBAKnljlQNxhykiSrtCCBcOqXWWfxoIPoKMB, v, 170, 273, 30/11/1982
1943, TCZecCXlmsYwX, PPFWjEGikABCWUJkquUMnbLDSzBWdPFKISemrviMDMkghf, M, 58, 16, 29/12/1951
1944, LaiiTVpvQNsRluzMzdtYXLPRrL, LmlCvllpQjTEdWObH, W, 79, 226, 30/01/2014
1945, HHRZQbVoIAkFoChuKseNhiewgcHu, dntMLMTNORtxUtKAOHzerE, T, 40, 185, 26/08/1962
1946, hQauDsNauKEuShsZRr, MDPMnLcLQHaIFwZ, i, 83, 128, 14/04/1963
1947, pGBERuctDJPWxUtPSEDuKWSqSBRovMMTOvwMZMEXSI, nRRsxisFobClAPnsOa, G, 248, 77, 22/11/1985
1948, UiqRiRIMdKrGfQMCapzWmitGVXRMAxXFbIvqvqwN, wXuzunvOJyrltRpCQHybIprg, U, 208, 234, 25/05/1966
1949, yogwZMhXWypsZCdc, UrLcyvVYMQITkHGPhaWVWbcHxpklPeZUvjUxZAAsQnuZaSZGuKOezXQPe, V, 122, 228, 22/11/2014
1950, COJkWgNTVQOksaSheFBuMWNbEkbZKvUVTeBqzOpDai, ndnRYwnHapgCDtCkJhcZrGKjlOcYxInB, l, 87, 190, 01/08/2011
1951, QEGpkoEHIeYyhlulCidObvglZtmuExJktZpBLdEaWEkwLWIQwmEnXyCuCYH, lKpqFndtOQQKwXJpgRZqiSBoSjoapFHJJBDBHodrFdoRngoxmQrhghewgO, D, 284, 70, 14/12/1958
1952, ojjIxRMGvxUnweSFmf, cOZdWGuSMZjPAYPFcSAxxSPRUopCVWhyFedKmuDzvuG, k, 85, 160, 03/01/2017
1953, JcYdw, QxAhSFDoyaxolwwLuyJKIkxTHimZQRqnuXCooH, l, 274, 295, 10/03/1954
1954, DAhjGhEdSbFVWLEyobiFCBBHzIousZQDruDaUmXEPzaKyAcbINYj, HqMzfNAFfecAtNvBGrKHSflSWaVnQsKciXMceVuDaaZuOsoEHislKTvVITG, a, 263, 207, 02/11/1986
1955, SCZfxewvASKEewlwUf, SjPVGqOvfeYNrbTFPnZMKujDqrr, W, 175, 65, 14/01/1966
1956, waOmHjCziEddzcOkz, kEqYbp, g, 233, 174, 12/04/1980
1957, KZPoYnqgSTtBXFAajGKjXymQLdFXWGBJc, xjOHvADrHbaLxCQcKUHMyvmfmefGaXNoeThtWcZqoMOvQxIhNbCr, N, 72, 246, 04/05/1974
1958, coTmchGKUSmjtKeMEZxHWr, elPgzivDUFETWAtxQefVzFjGLoYuFwMYTLYjGwWMdZauZgjDRaAqQxgHR, R, 248, 3, 27/09/1995
1959, yfzetvHUkNKmTuzKbi, YVZDhdOVErFcUSOFTQOURyTPMbwmieibtdlLFxsULJXvNiom, s, 195, 276, 01/12/2018
1960, htpOzKrGMzafMGUJi, sxRQFqFpDxllvzVecZPPyBxnLyilsbUZWLytRtThvodR, A, 14, 127, 29/11/1950
1961, YxkOnojFCZrskTOrGnubWjHVbZhiVLOqQCWoXMHZ, VaItyonviPbDEOqEXxHtbMNmzJdREgVZyGmmCIeFfYDdOrTKhedX, M, 279, 283, 11/06/2012
1962, yPmKzLQopPNHHoqtXYfmsUNeciKyiUDDSvGiLnaBHTah, UtNussWvzKQYtjaaBKLBmSCaChRVtdECmhNYPmTBTyZpb, A, 270, 34, 15/10/2014
1963, CpchVNvwj, bWBCLJDcizvxwxGtViyKbwRN, l, 87, 165, 29/10/2021
1964, alJur, brECUoaSYMxrEWTiopxAlzdzoqdWniDgnaqfKOrKfnqobbpZjHFKm, R, 119, 138, 01/11/1996
1965, UNngqBCbiLbixcyhyNKzKSdGuouaXYFKbBnqbMvDLFmewrlkOQ, sCXaExTCbWWwxUMvtzSnIavqqUjXqfjjMbZBUUwNd, H, 144, 263, 25/08/2006
1966, PmakLWnWnoErlBBaggagwhLTeIa, WSgzFpyEQwUgKTJlTtguYBEfHa, G, 127, 148, 29/09/1977
1967, QtTtJdCLnQHcYqKtcUgLuonLmZulSkCCmpQoJkuXaQsQgXvTUyNNf, jFqejSIjsYmoGEPfhmnZNhqZtrtoKwpRFRbUIj, P, 277, 265, 27/04/1951
1968, PLQcVh, OdNMaidhmbxDxB, V, 296, 163, 15/11/1965
1969, pjamYtzjjhceDqyHePQkhcEDNTRuvdlRnpFIYlNhyYjNfPyLoDe, zMTRqjyLqBvzTQgqpFHICEoCAnDDQNLAlusHAhSQgMnXrHiQVrOBG, w, 46, 147, 23/12/1977
1970, MNWd, ugzTZwHwwgmWxWeQOSVsKeFMYaEJhUgxFAVOXiINmowfAbLG, x, 25, 87, 27/06/2019
1971, CVUyMYcmmgZlZsbkOlJcJiusXanuKOaYBUEmVopawbFvBdMNKNuwhYDqoqP, IeYnALNTkIPstIYNZsCANgqNBgLymZlxgefJkBkMiFtor, D, 50, 37, 05/11/1967
1972, NUFxtUFGRzFCegZfmPegULoyEppSwjiZOjdydvlYzpQTgGr, qHCmmNKNpL, k, 212, 54, 24/09/1984
1973, RpcCQ, ZdEcAQQnpRaMfKLIuszPSHSaXhBXejDsSYmJXCilBkYSuTMc, N, 204, 80, 04/01/1972
1974, hFqhpXcfiNYyp, sLrZUvJTgd, J, 217, 62, 19/09/1982
1975, nVDyjmXDMLbnqSPwHVKiwMgsjwoLiWZJjAlC, IwCXqrSwkeOFSlCnxwqlXHQYGwYaskGdctqdTgEPsWTPSZJcuUqs, i, 288, 188, 22/05/1953
1976, NAiAUWFNQmIHwvHUCIVOizN, meCdqjqxCExuCsSnPrcjPXPzbHAexZZUwsXgjLSGwSnLpcWrNQRVLRoKW, H, 171, 77, 03/04/2003
1977, wCJDHHDQElB, gQjZphQMVwDWCXEWCNYloThgRwgqhGfHdcadOqiSQcnp, q, 252, 73, 06/10/2014
1978, SUPWQHrIMuWZctVrBmjXGsgSddDMvTbXUkyVziAq, rhnGZWSisYMwtooJAMKXKv, M, 112, 112, 31/10/1988
1979, ShTLTIFigSWOROfhXXfcesMMDwCmsZi, HHxhLGcfAcoYpIjzXjEJiHQJIcugGMmukK, l, 40, 61, 20/04/1967
1980, BguEzBZbzSyRjhLFItnWEShX, zxBHULsffwwvpRFADtcdmnHiLbsuLZlfHvGGRzToNotFcj, y, 116, 51, 20/11/1978
1981, hnEMpl, DIerQjnIfRRnEmVakgmCbBoIUHQyBvlKougUMxpbkrUuGgQhlUctyP, E, 20, 8, 25/05/1964
1982, fgFzHTqpTaoKaygCfFfBaZLNaEkKZMhTpEEiGofQqPzNR, EjSPzlCOdt, V, 146, 299, 10/08/1957
1983, fVNgTZLggsilgnvKifyibrRsoXRhbwcAgNZHvOgHOeFbmGNLQji, PkuJIxMbzCbOgSXXrLnVLye, k, 236, 194, 19/01/1977
1984, xRW, lWUAPyLIhmRjMRzuhhCDeaBUCyTzDEGJkxXHERldXT, E, 230, 88, 05/08/1972
